date,open,high,low,close,open_usd,high_usd,low_usd,close_usd,volume,market cap
2018-10-06,4784.17093700,4795.23798000,4734.50983460,4754.33678460,6635.65000000,6651.00000000,6566.77000000,6594.27000000,10939.50539100,10939.50539100
2018-10-07,4755.90131120,4787.30720000,4704.39450000,4769.47015480,6596.44000000,6640.00000000,6525.00000000,6615.26000000,17406.83176200,17406.83176200
2018-10-08,4769.47015480,4841.81328800,4749.09526000,4811.10674980,6615.26000000,6715.60000000,6587.00000000,6673.01000000,23123.41954100,23123.41954100
2018-10-09,4811.10674980,4820.02527240,4763.51486000,4799.28267780,6673.01000000,6685.38000000,6607.00000000,6656.61000000,15354.77946900,15354.77946900
2018-10-10,4799.32593660,4801.69075100,4707.99940000,4780.81838000,6656.67000000,6659.95000000,6530.00000000,6631.00000000,15390.66144400,15390.66144400
2018-10-11,4780.24880580,4782.92364160,4473.68090000,4508.05722640,6630.21000000,6633.92000000,6205.00000000,6252.68000000,48712.40033200,48712.40033200
2018-10-12,4508.07885580,4585.43280000,4476.56482000,4540.73924980,6252.71000000,6360.00000000,6209.00000000,6298.01000000,29004.07141900,29004.07141900
2018-10-13,4540.73204000,4574.61810000,4531.40976860,4565.91587140,6298.00000000,6345.00000000,6285.07000000,6332.93000000,19098.07002500,19098.07002500
2018-10-14,4565.90866160,4625.80768000,4547.94184000,4570.53735320,6332.92000000,6416.00000000,6308.00000000,6339.34000000,15627.41131400,15627.41131400
2018-10-15,4570.53735320,5537.12640000,4542.17400000,4868.41745000,6339.34000000,7680.00000000,6300.00000000,6752.50000000,90748.03124600,90748.03124600
2018-10-16,4868.41745000,4974.76200000,4808.93660000,4873.29848460,6752.50000000,6900.00000000,6670.00000000,6759.27000000,27557.95776400,27557.95776400
2018-10-17,4875.81470480,4910.68129760,4813.26968980,4860.04687220,6762.76000000,6811.12000000,6676.01000000,6740.89000000,26641.43137900,26641.43137900
2018-10-18,4858.69142980,4899.78008000,4734.67566000,4772.13778080,6739.01000000,6796.00000000,6567.00000000,6618.96000000,20116.52194100,20116.52194100
2018-10-19,4772.13778080,4793.17597720,4702.95254000,4707.19190240,6618.96000000,6648.14000000,6523.00000000,6528.88000000,20772.60077000,20772.60077000
2018-10-20,4707.19190240,4771.19329700,4690.37143900,4750.10463200,6528.88000000,6617.65000000,6505.55000000,6588.40000000,19240.72224700,19240.72224700
2018-10-21,4748.17240560,4804.53862200,4744.04840000,4751.33750780,6585.72000000,6663.90000000,6580.00000000,6590.11000000,6515.35779200,6515.35779200
2018-10-22,4751.34471760,4786.58622000,4711.79896460,4744.91357600,6590.12000000,6639.00000000,6535.27000000,6581.20000000,16213.69266000,16213.69266000
2018-10-23,4744.91357600,4754.86310000,4697.50914100,4724.94963980,6581.20000000,6595.00000000,6515.45000000,6553.51000000,13856.60175600,13856.60175600
2018-10-24,4724.94963980,4780.09740000,4720.63817940,4733.59419000,6553.51000000,6630.00000000,6547.53000000,6565.50000000,11951.54397700,11951.54397700
2018-10-25,4734.53867380,4740.50838820,4688.38874400,4706.62232820,6566.81000000,6575.09000000,6502.80000000,6528.09000000,10342.70124400,10342.70124400
2018-10-26,4706.65116740,4758.46800000,4697.19190980,4714.22145740,6528.13000000,6600.00000000,6515.01000000,6538.63000000,9443.50415600,9443.50415600
2018-10-27,4714.22145740,4728.43918300,4659.72257920,4690.40748800,6538.63000000,6558.35000000,6463.04000000,6505.60000000,7776.90786400,7776.90786400
2018-10-28,4690.40748800,4696.58628660,4652.48394000,4679.10973140,6505.60000000,6514.17000000,6453.00000000,6489.93000000,5743.93372800,5743.93372800
2018-10-29,4679.10973140,4689.98210980,4552.98870000,4574.25761000,6489.93000000,6505.01000000,6315.00000000,6344.50000000,13827.22406700,13827.22406700
2018-10-30,4574.25761000,4610.66710000,4554.43786980,4564.43065260,6344.50000000,6395.00000000,6317.01000000,6330.87000000,8877.17538500,8877.17538500
2018-10-31,4563.81060980,4634.45944000,4502.53451960,4594.03409140,6330.01000000,6428.00000000,6245.02000000,6371.93000000,12148.88821600,12148.88821600
2018-11-01,4592.29652960,4645.02179700,4577.25688680,4621.48180000,6369.52000000,6442.65000000,6348.66000000,6410.00000000,9099.03584100,9099.03584100
2018-11-02,4621.48180000,4657.77593320,4605.76443600,4638.77090040,6410.00000000,6460.34000000,6388.20000000,6433.98000000,9739.44067900,9739.44067900
2018-11-03,4637.92014400,4643.08957060,4574.61810000,4604.96414820,6432.80000000,6439.97000000,6345.00000000,6387.09000000,7661.24147600,7661.24147600
2018-11-04,4605.62024000,4704.39450000,4584.71182000,4676.16813300,6388.00000000,6525.00000000,6359.00000000,6485.85000000,10592.39494300,10592.39494300
2018-11-05,4676.16813300,4689.53510220,4636.63679960,4664.01241020,6485.85000000,6504.39000000,6431.02000000,6468.99000000,8987.88215600,8987.88215600
2018-11-06,4664.01241020,4708.94388380,4646.84587640,4700.14792780,6468.99000000,6531.31000000,6445.18000000,6519.11000000,11926.56569900,11926.56569900
2018-11-07,4702.75787540,4769.39084700,4692.85882000,4742.93809080,6522.73000000,6615.15000000,6509.00000000,6578.46000000,14271.59111700,14271.59111700
2018-11-08,4742.93809080,4754.14212000,4663.45725560,4671.83504320,6578.46000000,6594.00000000,6468.22000000,6479.84000000,13259.78928200,13259.78928200
2018-11-09,4671.83504320,4694.68289940,4607.79038980,4628.68439020,6479.84000000,6511.53000000,6391.01000000,6419.99000000,11787.61658300,11787.61658300
